outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2,Decision Tree,35.19025129079819,1.7231271954015468,0.13306468725204468,0.007487569002442886,entropy,,1,10,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.9252668151232011,0.9267370629305495,0.9288083848703378,0.9298336118783017,0.9276614687005975,0.0017764089104351966,34
2,Decision Tree,37.1298548579216,1.7869519347979141,0.14150923490524292,0.002782452392332142,entropy,,2,2,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9262371643108017,0.9283923132878347,0.9308170721127325,0.9302308445191679,0.9289193485576341,0.0017883829887822575,7
2,Decision Tree,36.44571793079376,1.8537588190828889,0.14101815223693848,0.004794520971945966,entropy,,2,5,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.926295169762289,0.9282649716335214,0.9295088362274044,0.9303201828043632,0.9285972901068945,0.0015173553658915458,17
2,Decision Tree,35.97137326002121,1.2722071883539376,0.13436168432235718,0.009414643525233104,entropy,,2,10,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.9265066058706544,0.9282930579981395,0.9302500069976385,0.9306263430724021,0.9289190034847087,0.0016506096464327868,10
2,Decision Tree,36.33627873659134,1.1399528590191352,0.12632381916046143,0.005850152075278466,entropy,,5,2,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.9258226792653276,0.9281366547594974,0.9297692734614162,0.9280911005299738,0.9279549270040537,0.0014044484409285725,24
2,Decision Tree,35.76366776227951,0.4351110597463232,0.12628793716430664,0.0036205687404606817,entropy,,5,5,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.9258226792653276,0.9281366547594974,0.9297692734614162,0.9280911005299738,0.9279549270040537,0.0014044484409285725,24
2,Decision Tree,36.399254858493805,2.0626314261615533,0.1314142942428589,0.004777580412552327,entropy,,5,10,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.9258226792653276,0.9281366547594974,0.9297692734614162,0.9280911005299738,0.9279549270040537,0.0014044484409285725,24
2,Decision Tree,35.46514296531677,1.5225919796357303,0.12828928232192993,0.009622989988188444,entropy,20,1,2,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9272271480995378,0.9279628124949141,0.9308283264156925,0.9298271967708739,0.9289613709452544,0.001435254763644754,6
2,Decision Tree,35.91967362165451,1.750055603311327,0.1439165472984314,0.015604963611956882,entropy,20,1,5,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.9279048681595263,0.9288953599426729,0.9298824103644332,0.9302438944515011,0.9292316332295334,0.0009112585987598156,1
2,Decision Tree,35.76434546709061,1.6566925583304442,0.1299012303352356,0.013232302270705617,entropy,20,1,10,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.9252216316687752,0.9274520241946429,0.9289272996194691,0.9297404268474209,0.927835345582577,0.0017175661525828197,33
